date,revenue_scaled
2021-02-18,112300.16
2021-02-19,84952.09
2021-02-20,117582.84
2021-02-21,109115.32
2021-02-22,126978.11
2021-02-23,106380.52
2021-02-24,99387.72
2021-02-25,105238.13
2021-02-26,82805.79
2021-02-27,101083.99
2021-02-28,106311.28
2021-03-01,90906.36
2021-03-02,97899.15
2021-03-03,115761.94
2021-03-04,103264.91
2021-03-05,71381.91
2021-03-06,103784.18
2021-03-07,110015.39
2021-03-08,102261.00
2021-03-09,93121.90
2021-03-10,98245.33
2021-03-11,114238.76
2021-03-12,82875.03
2021-03-13,122823.97
2021-03-14,110500.03
2021-03-15,129159.03
2021-03-16,78928.60
2021-03-17,111642.42
2021-03-18,122027.76
2021-03-19,106138.19
2021-03-20,121300.79
2021-03-21,109876.91
2021-03-22,146779.49
2021-03-23,102295.61
2021-03-24,124970.28
2021-03-25,107522.90
2021-03-26,97033.71
2021-03-27,115692.71
2021-03-28,131374.57
2021-03-29,84086.65
2021-03-30,119396.81
2021-03-31,118289.04
2021-04-01,112438.63
2021-04-02,98660.75
2021-04-03,129886.01
2021-04-04,131616.90
2021-04-05,118669.84
2021-04-06,119258.34
2021-04-07,102641.79
2021-04-08,155918.60
2021-04-09,103438.00
2021-04-10,124762.57
2021-04-11,122477.80
2021-04-12,145602.49
2021-04-14,149168.12
2021-04-15,133278.55
2021-04-16,126631.93
2021-04-17,121023.85
2021-04-18,105515.07
2021-04-19,104338.07
2021-04-20,109565.35
2021-04-21,112715.57
2021-04-22,119708.37
2021-04-23,88829.29
2021-04-24,106692.08
2021-04-25,126631.93
2021-04-26,109115.32
2021-04-27,105549.69
2021-04-28,114107.21
2021-04-29,90352.47
2021-04-30,81005.66
2021-05-01,90040.91
2021-05-02,111503.95
2021-05-03,98003.01
2021-05-04,118046.72
2021-05-05,100045.46
2021-05-06,100287.78
2021-05-07,82944.26
2021-05-08,114931.11
2021-05-09,107799.85
2021-05-10,102261.00
